证券代码,企业名称,会计区间,速动比率 x1,利息保障倍数 x2,权益乘数 x3,固定资产周转率 x4,总资产周转率 x5,长期资本收益率 x6,营业利润率 x7,净利润现金含量 x8,总资产增长率 x9,FAIL
600480,凌云工业股份有限公司,41639,0.7609,3.3477,2.4408,3.943630906,0.845257683,0.150698152,4.6642,1.031747708,11.1292,0
600480,凌云工业股份有限公司,42004,0.9394,3.4915,2.5649,4.119499667,0.871732885,0.163725344,5.1745,2.690350246,12.8129,0
600480,凌云工业股份有限公司,42369,1.165,3.5731,2.0381,3.51609514,0.815379179,0.153477684,5.1765,1.834718973,18.1871,0
600480,凌云工业股份有限公司,42735,0.8363,5.8639,2.0796,4.072568595,0.888487637,0.139081305,5.261,1.464447136,12.7117,0
600480,凌云工业股份有限公司,43100,0.8661,7.5076,2.2157,4.940303707,0.999472978,0.163180197,5.8808,1.329239379,18.3388,0
600480,凌云工业股份有限公司,43465,0.9329,6.1207,2.2964,4.493181823,0.923001546,0.148925247,5.5133,0.618753953,12.0047,0
600501,航天晨光股份有限公司,40543,0.7688,3.9922,2.8531,3.484343038,0.760857816,0.086373092,3.2613,1.168241911,10.5339,0
600501,航天晨光股份有限公司,40908,0.7919,3.4017,3.0122,4.465714589,0.870909473,0.104871371,2.6434,-1.521249252,14.2876,0
600501,航天晨光股份有限公司,41274,0.691,1.783,3.0464,5.055864424,0.987386049,0.077029355,0.6056,1.673659856,2.0182,0
600501,航天晨光股份有限公司,41639,0.7145,1.8564,2.9381,4.800442443,0.932060602,0.073953203,0.9796,2.209060672,-0.3306,0
600501,航天晨光股份有限公司,42004,0.76,2.6423,2.8258,3.809949579,0.881888667,0.112738062,2.6642,1.176479526,1.7333,0
600501,航天晨光股份有限公司,42369,1.2323,1.8845,2.0245,3.592404652,0.670516312,0.060724654,1.1259,5.919407103,16.5499,0
600501,航天晨光股份有限公司,42735,1.2239,3.8566,1.9646,3.659360159,0.675007974,0.036413784,0.5948,2.251073346,-1.5933,0
600501,航天晨光股份有限公司,43100,1.1752,3.3824,1.9539,3.163943007,0.558430002,0.042691613,1.8462,12.55387846,0.0915,0
600501,航天晨光股份有限公司,43465,1.0402,-8.2862,1.9967,3.301447433,0.583416357,-0.081993644,-6.0413,-0.355042693,-4.4199,0
600523,贵州贵航汽车零部件股份有限公司,40543,1.4322,34.1252,1.5445,4.148632577,0.889252819,0.220505069,7.9494,0.683240641,13.3459,0
600523,贵州贵航汽车零部件股份有限公司,40908,1.3293,25.3354,1.619,4.639646599,0.922251832,0.225482244,7.2397,0.259015239,11.3557,0
600523,贵州贵航汽车零部件股份有限公司,41274,1.5825,14.8972,1.5923,4.431431922,0.925336279,0.167683047,5.8414,1.155602888,-2.0363,0
600523,贵州贵航汽车零部件股份有限公司,41639,1.4574,12.6306,1.7157,4.668120112,0.843776772,0.166372628,4.9299,0.063712309,14.1879,0
600523,贵州贵航汽车零部件股份有限公司,42004,1.1641,5.9543,1.8171,4.573767428,0.816708058,0.168846961,5.16,0.587026447,16.5035,0
600523,贵州贵航汽车零部件股份有限公司,42369,1.2948,8.0653,1.7177,4.672590157,0.849772472,0.179050955,5.7557,1.122480931,0.2832,0
600523,贵州贵航汽车零部件股份有限公司,42735,1.3753,11.7186,1.6256,5.251649909,0.889099483,0.20434851,5.7798,2.365923585,0.3681,0
600523,贵州贵航汽车零部件股份有限公司,43100,1.7142,2780.3823,1.4863,5.461619857,0.926898381,0.204622299,6.706,1.324221973,-3.2239,0
600609,金杯汽车股份有限公司,40543,0.7668,4.406,10.7413,11.88425665,0.949298865,0.565508225,4.2676,0.425577007,2.2326,0
600609,金杯汽车股份有限公司,40908,0.7372,1.6991,10.1744,11.33756979,0.864517477,0.215827448,2.2355,-0.985070889,10.0179,0
600609,金杯汽车股份有限公司,41274,0.7881,1.7995,11.563,6.190882317,0.695327427,0.177001338,1.6635,2.785477547,34.0187,0
600609,金杯汽车股份有限公司,41639,0.778,1.849,10.1672,6.879330255,0.752619768,0.170327764,1.094,3.924402645,4.1234,0
600609,金杯汽车股份有限公司,42004,0.8105,1.2703,14.0579,6.688497357,0.553983831,0.125509431,0.2759,-46.6352046,22.8235,0
